Country,State,Date,Sex,Age,Deaths
USA,Massachusetts,2020-09-26,m,0,0
USA,Massachusetts,2020-09-26,m,1,0
USA,Massachusetts,2020-09-26,m,5,0
USA,Massachusetts,2020-09-26,m,15,5
USA,Massachusetts,2020-09-26,m,25,12
USA,Massachusetts,2020-09-26,m,35,34
USA,Massachusetts,2020-09-26,m,45,100
USA,Massachusetts,2020-09-26,m,55,350
USA,Massachusetts,2020-09-26,m,65,732
USA,Massachusetts,2020-09-26,m,75,1142
USA,Massachusetts,2020-09-26,m,85,1381
USA,Massachusetts,2020-09-26,m,TOT,3756
USA,Michigan,2020-09-26,b,TOT,6209
USA,Michigan,2020-09-26,f,0,0
USA,Michigan,2020-09-26,f,1,0
USA,Michigan,2020-09-26,f,5,1
USA,Michigan,2020-09-26,f,15,5
USA,Michigan,2020-09-26,f,25,13
USA,Michigan,2020-09-26,f,35,36
USA,Michigan,2020-09-26,f,45,122
USA,Michigan,2020-09-26,f,55,287
USA,Michigan,2020-09-26,f,65,617
USA,Michigan,2020-09-26,f,75,744
USA,Michigan,2020-09-26,f,85,1127
USA,Michigan,2020-09-26,f,TOT,2951
USA,Michigan,2020-09-26,m,0,0
USA,Michigan,2020-09-26,m,1,0
USA,Michigan,2020-09-26,m,5,0
USA,Michigan,2020-09-26,m,15,3
USA,Michigan,2020-09-26,m,25,29
USA,Michigan,2020-09-26,m,35,63
USA,Michigan,2020-09-26,m,45,222
USA,Michigan,2020-09-26,m,55,468
USA,Michigan,2020-09-26,m,65,868
USA,Michigan,2020-09-26,m,75,903
USA,Michigan,2020-09-26,m,85,701
USA,Michigan,2020-09-26,m,TOT,3257
USA,Minnesota,2020-09-26,b,TOT,1975
USA,Minnesota,2020-09-26,f,0,1
USA,Minnesota,2020-09-26,f,1,0
USA,Minnesota,2020-09-26,f,5,0
USA,Minnesota,2020-09-26,f,15,0
USA,Minnesota,2020-09-26,f,25,3
USA,Minnesota,2020-09-26,f,35,9
USA,Minnesota,2020-09-26,f,45,18
USA,Minnesota,2020-09-26,f,55,51
USA,Minnesota,2020-09-26,f,65,149
USA,Minnesota,2020-09-26,f,75,252
USA,Minnesota,2020-09-26,f,85,532
USA,Minnesota,2020-09-26,f,TOT,1014
USA,Minnesota,2020-09-26,m,0,0
USA,Minnesota,2020-09-26,m,1,0
USA,Minnesota,2020-09-26,m,5,0
USA,Minnesota,2020-09-26,m,15,1
USA,Minnesota,2020-09-26,m,25,5
USA,Minnesota,2020-09-26,m,35,12
USA,Minnesota,2020-09-26,m,45,42
USA,Minnesota,2020-09-26,m,55,108
USA,Minnesota,2020-09-26,m,65,182
USA,Minnesota,2020-09-26,m,75,280
USA,Minnesota,2020-09-26,m,85,331
USA,Minnesota,2020-09-26,m,TOT,961
USA,Mississippi,2020-09-26,b,TOT,2767
USA,Mississippi,2020-09-26,f,0,0
USA,Mississippi,2020-09-26,f,1,0
