State,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Maine,f,85,2021-02-15,124.62808479870074,173.4709827164433,242.71362252865976,26707.975002549636
Maine,f,85,2021-03-15,124.62808479870074,155.01345276783064,242.71362252865976,28947.373129988046
Maine,f,85,2021-04-15,124.62808479870074,155.51956805469885,243.21973781552796,31188.830925731243
Maine,m,0,2020-03-15,0,8.683186523225274,8.683186523225274,26646.671625354826
Maine,m,0,2020-04-15,0,9.448483143293089,9.448483143293089,53277.81120139737
Maine,m,0,2020-05-15,0,9.29625907567376,9.448483143293089,79893.00369326795
Maine,m,0,2020-06-15,17.930639509752417,27.226898585426177,27.379122653045506,106491.82076136996
Maine,m,0,2020-07-15,17.930639509752417,35.24080087412289,35.39302494174222,133073.8207613699
Maine,m,0,2020-08-15,33.02821244721744,50.338373811587914,50.49059787920724,159638.55342938218
Maine,m,0,2020-09-15,33.02821244721744,51.52000928690028,51.67223335451961,186185.57862270882
Maine,m,0,2020-10-15,33.02821244721744,46.786077176690355,51.67223335451961,212714.47100502413
Maine,m,0,2020-11-15,33.02821244721744,50.13692549002432,55.023081667853575,239224.82004637478
Maine,m,0,2020-12-15,33.02821244721744,54.572880512670686,59.45903669049994,265716.2300231799
Maine,m,0,2021-01-15,33.02821244721744,51.09424695075111,59.45903669049994,292188.3200182309
Maine,m,0,2021-02-15,33.02821244721744,55.70130807377759,64.06609781352643,318640.7239206916
Maine,m,0,2021-03-15,33.02821244721744,60.39432585707753,68.75911559682636,345073.09042609826
Maine,m,0,2021-04-15,33.02821244721744,71.17354112361011,79.53833086335894,371485.08303635946
Maine,m,40,2020-03-15,0,4.793022571677483,4.793022571677483,19549.920319488072
Maine,m,40,2020-04-15,0,7.615798054299205,7.615798054299205,39094.44511762586
Maine,m,40,2020-05-15,40.84943561775296,48.465233672052165,48.465233672052165,58634.00619296478
Maine,m,40,2020-06-15,40.84943561775296,49.33795933966928,49.33795933966928,78169.07392104078
Maine,m,40,2020-07-15,77.74180386982297,86.2303275917393,86.2303275917393,97700.1572543743
Maine,m,40,2020-08-15,77.74180386982297,88.1385325709291,88.1385325709291,117227.78712664737
Maine,m,40,2020-09-15,77.74180386982297,103.05908625373701,103.05908625373701,136752.4500694118
Maine,m,40,2020-10-15,77.74180386982297,124.98893760581132,124.98893760581132,156274.57161626627
Maine,m,40,2020-11-15,77.74180386982297,146.92547269354995,146.92547269354995,175794.51630285624
Maine,m,40,2020-12-15,77.74180386982297,161.86651479571816,161.86651479571816,195312.58766687408
Maine,m,40,2021-01-15,119.68561358919021,203.8103245150854,203.8103245150854,214829.02824805895
Maine,m,40,2021-02-15,119.68561358919021,212.75559989007894,212.75559989007894,234344.01958819688
Maine,m,40,2021-03-15,119.68561358919021,224.70147650645438,224.70147650645438,253857.68223112077
Maine,m,40,2021-04-15,119.68561358919021,247.64752760898634,247.64752760898634,273370.0757227103
Maine,m,65,2020-03-15,0,-2.3655752759179904,0,6710.88970033239
Maine,m,65,2020-04-15,0,-7.927925741205797,0,13439.155246327235
Maine,m,65,2020-05-15,0,-8.422116444211383,0,20184.69243077235
Maine,m,65,2020-06-15,0,-14.967326930600848,0,26947.37175319494
Maine,m,65,2020-07-15,0,-4.676272687112373,10.291054243488475,33727.03841986161
Maine,m,65,2020-08-15,0,0.8781812307730661,15.845508161373914,40523.505794314886
Maine,m,65,2020-09-15,0,25.231583238742758,40.198910169343606,47336.529199519384
Maine,m,65,2020-10-15,0,13.594444475687482,40.198910169343606,54165.79936839835
Maine,m,65,2020-11-15,0,29.358926514687,55.96339220834312,61010.94244383362
Maine,m,65,2020-12-15,0,47.393973881819164,73.99843957547529,67871.51997866567
Maine,m,65,2021-01-15,0,53.92625447424902,80.53072016790514,74747.0289356936
Maine,m,65,2021-02-15,0,43.92279353248779,80.53072016790514,81636.9016876751
Maine,m,65,2021-03-15,0,57.161544872314465,93.76947150773182,88540.5060173265
Maine,m,65,2021-04-15,0,48.38365220784942,93.76947150773182,95457.14511732275
